100 4950
4 15 88
4 16 70
4 17 28
4 18 5
4 19 9
4 20 17
4 21 7
4 22 90
4 23 22
4 24 59
4 25 23
4 26 51
4 27 9
4 28 34
4 29 8
4 30 32
4 31 88
4 32 40
4 33 38
4 34 68
4 35 82
4 36 66
4 37 93
4 38 24
4 39 65
4 40 32
4 41 54
4 42 25
4 43 63
4 44 20
4 45 13
4 46 10
4 47 59
4 48 46
4 49 18
4 50 6
4 51 97
4 52 96
4 53 47
4 54 6
4 55 65
4 56 51
4 57 2
4 58 78
4 59 1
4 60 36
4 61 26
4 62 3
4 63 28
4 64 45
4 65 28
4 66 93
4 67 23
4 68 33
4 69 18
4 70 35
4 71 20
4 72 92
4 73 95
4 74 41
4 75 31
4 76 9
4 77 48
4 78 68
4 79 69
4 80 88
4 81 17
4 82 91
4 83 6
4 84 14
4 85 34
4 86 84
4 87 74
4 88 59
4 89 32
4 90 94
4 91 28
4 92 85
4 93 18
4 94 96
4 95 58
4 96 18
4 97 12
4 98 26
4 99 77
5 6 47
5 7 64
5 8 78
5 9 86
5 10 80
5 11 17
5 12 78
5 13 41
5 14 19
5 15 10
5 16 7
5 17 20
5 18 71
5 19 89
5 20 93
5 21 63
5 22 38
5 23 96
5 24 99
5 25 63
5 26 51
5 27 35
5 28 94
5 29 77
5 30 37
5 31 42
5 32 37
5 33 40
5 34 7
5 35 85
5 36 86
5 37 85
5 38 96
5 39 18
5 40 100
5 41 31
5 42 9
5 43 87
5 44 94
5 45 57
5 46 59
5 47 64
5 48 60
5 49 99
5 50 4
5 51 8
5 52 92
5 53 11
5 54 100
5 55 27
5 56 93
5 57 34
5 58 31
5 59 83
5 60 75
5 61 13
5 62 2
5 63 87
5 64 12
5 65 11
5 66 25
5 67 81
5 68 57
5 69 1
5 70 23
5 71 68
5 72 21
5 73 100
5 74 5
5 75 43
5 76 39
5 77 81
5 78 38
5 79 8
5 80 2
5 81 94
5 82 92
5 83 98
5 84 19
5 85 60
5 86 55
5 87 9
5 88 35
5 89 24
5 90 50
5 91 26
5 92 68
5 93 7
5 94 39
5 95 54
5 96 98
5 97 95
5 98 63
5 99 29
6 7 67
6 8 59
6 9 79
6 10 92
6 11 58
6 12 77
6 13 39
6 14 76
6 15 63
6 16 46
6 17 74
6 18 23
6 19 83
6 20 85
6 21 28
6 22 38
6 23 41
6 24 34
6 25 53
6 26 78
6 27 75
6 28 40
6 29 17
6 30 20
6 31 48
6 32 36
6 33 29
6 34 80
6 35 32
6 36 62
6 37 78
6 38 51
6 39 31
6 40 59
6 41 56
6 42 82
6 43 30
6 44 10
6 45 54
6 46 52
6 47 82
6 48 75
6 49 97
6 50 10
6 51 22
6 52 31
6 53 7
6 54 38
6 55 36
6 56 95
6 57 11
6 58 79
6 59 39
6 60 9
6 61 69
6 62 58
6 63 91
6 64 62
6 65 20
6 66 33
6 67 69
6 68 94
6 69 93
6 70 98
6 71 45
6 72 66
6 73 68
6 74 52
6 75 53
6 76 82
6 77 24
6 78 89
6 79 29
6 80 85
6 81 31
6 82 83
6 83 79
6 84 47
6 85 90
6 86 77
6 87 65
6 88 65
6 89 89
6 90 90
6 91 89
6 92 13
6 93 59
6 94 53
6 95 9
6 96 42
6 97 42
6 98 73
6 99 74
7 8 7
7 9 3
7 10 84
7 11 87
7 12 33
7 13 13
7 14 79
7 15 70
7 16 45
7 17 97
7 18 39
7 19 3
7 20 72
7 21 21
7 22 92
7 23 83
7 24 52
7 25 10
7 26 86
7 27 50
7 28 43
7 29 98
7 30 8
7 31 15
7 32 72
7 33 8
7 34 79
7 35 30
7 36 33
7 37 13
7 38 71
7 39 68
7 40 89
7 41 73
7 42 49
7 43 44
7 44 47
7 45 4
7 46 26
7 47 20
7 48 99
7 49 67
7 50 59
7 51 98
7 52 97
7 53 3
7 54 30
7 55 75
7 56 80
7 57 88
7 58 81
7 59 9
7 60 5
7 61 77
7 62 83
7 63 30
7 64 88
7 65 34
7 66 2
7 67 32
7 68 1
7 69 47
7 70 85
7 71 21
7 72 76
7 73 99
7 74 34
7 75 96
7 76 32
7 77 1
7 78 31
7 79 45
7 80 6
7 81 12
7 82 52
7 83 6
7 84 28
7 85 51
7 86 15
7 87 51
7 88 28
7 89 62
7 90 56
7 91 46
7 92 3
7 93 27
7 94 2
7 95 44
7 96 38
7 97 90
7 98 73
7 99 95
8 9 33
8 10 18
8 11 57
8 12 32
8 13 18
8 14 60
8 15 75
8 16 96
8 17 46
8 18 80
8 19 53
8 20 99
8 21 65
8 22 11
8 23 90
8 24 21
8 25 33
8 26 29
8 27 98
8 28 10
8 29 47
8 30 28
8 31 39
8 32 35
8 33 6
8 34 53
8 35 13
8 36 42
8 37 66
8 38 66
8 39 47
8 40 63
8 41 67
8 42 10
8 43 72
8 44 81
8 45 58
8 46 68
8 47 95
8 48 73
8 49 75
8 50 28
8 51 92
8 52 19
8 53 94
8 54 44
8 55 65
8 56 57
8 57 34
8 58 23
8 59 3
8 60 17
8 61 63
8 62 1
8 63 34
8 64 72
8 65 60
8 66 2
8 67 26
8 68 64
8 69 31
8 70 82
8 71 63
8 72 7
8 73 15
8 74 72
8 75 4
8 76 2
8 77 29
8 78 9
8 79 36
8 80 76
8 81 51
8 82 47
8 83 13
8 84 45
8 85 78
8 86 23
8 87 60
8 88 43
8 89 68
8 90 86
8 91 86
8 92 34
8 93 70
8 94 44
8 95 15
8 96 66
8 97 16
8 98 56
8 99 85
9 10 72
9 11 53
9 12 98
9 13 92
9 14 5
9 15 96
9 16 71
9 17 96
9 18 5
9 19 84
9 20 10
9 21 71
9 22 73
9 23 54
9 24 25
9 25 77
9 26 21
9 27 87
9 28 92
9 29 52
9 30 65
9 31 97
9 32 3
9 33 19
9 34 28
9 35 33
9 36 2
9 37 90
9 38 16
9 39 43
9 40 92
9 41 52
9 42 7
9 43 44
9 44 16
9 45 43
9 46 58
9 47 54
9 48 73
9 49 74
9 50 37
9 51 56
9 52 58
9 53 5
9 54 38
9 55 71
9 56 81
9 57 43
9 58 49
9 59 1
9 60 7
9 61 74
9 62 91
9 63 3
9 64 4
9 65 23
9 66 1
9 67 33
9 68 88
9 69 56
9 70 30
9 71 70
9 72 59
9 73 51
9 74 66
9 75 86
9 76 52
9 77 5
9 78 35
9 79 69
9 80 24
9 81 50
9 82 10
9 83 55
9 84 6
9 85 66
9 86 89
9 87 40
9 88 81
9 89 12
9 90 35
9 91 55
9 92 72
9 93 5
9 94 96
9 95 72
9 96 34
9 97 20
9 98 67
9 99 50
10 11 43
10 12 74
10 13 65
10 14 18
10 15 72
10 16 95
10 17 59
10 18 74
10 19 59
10 20 86
10 21 10
10 22 3
10 23 64
10 24 35
10 25 19
10 26 25
10 27 67
10 28 27
10 29 68
10 30 79
10 31 21
10 32 95
10 33 53
10 34 3
10 35 90
10 36 80
10 37 30
10 38 94
10 39 55
10 40 78
10 41 25
10 42 79
10 43 59
10 44 22
10 45 37
10 46 80
10 47 100
10 48 91
10 49 5
10 50 67
10 51 52
10 52 36
10 53 47
10 54 28
10 55 21
10 56 62
10 57 65
10 58 91
10 59 51
10 60 51
10 61 69
10 62 60
10 63 50
10 64 78
10 65 29
10 66 92
10 67 45
10 68 20
10 69 14
10 70 87
10 71 75
10 72 17
10 73 97
10 74 61
10 75 76
10 76 79
10 77 8
10 78 67
10 79 10
10 80 62
10 81 10
10 82 72
10 83 73
10 84 18
10 85 84
10 86 96
10 87 37
10 88 26
10 89 34
10 90 5
10 91 31
10 92 19
10 93 70
10 94 20
10 95 13
10 96 3
10 97 5
10 98 46
10 99 92
11 12 9
11 13 49
11 14 67
11 15 79
11 16 1
11 17 12
11 18 88
11 19 62
11 20 83
11 21 82
11 22 7
11 23 39
11 24 31
11 25 14
11 26 37
11 27 28
11 28 57
11 29 61
11 30 58
11 31 70
11 32 13
11 33 81
11 34 4
11 35 32
11 36 88
11 37 40
11 38 23
11 39 39
11 40 99
11 41 48
11 42 73
11 43 78
11 44 67
11 45 22
11 46 70
11 47 10
11 48 89
11 49 45
11 50 76
11 51 92
11 52 72
11 53 49
11 54 91
11 55 39
11 56 38
11 57 52
11 58 8
11 59 93
11 60 81
11 61 56
11 62 96
11 63 9
11 64 81
11 65 64
11 66 21
11 67 51
11 68 75
11 69 86
11 70 85
11 71 46
11 72 55
11 73 20
11 74 62
11 75 30
11 76 38
11 77 78
11 78 8
11 79 3
11 80 58
11 81 27
11 82 71
11 83 93
11 84 35
11 85 97
11 86 83
11 87 72
11 88 46
11 89 4
11 90 53
11 91 61
11 92 54
11 93 92
11 94 59
11 95 22
11 96 94
11 97 61
11 98 27
11 99 14
12 13 6
12 14 32
12 15 4
12 16 12
12 17 16
12 18 76
12 19 73
12 20 45
12 21 93
12 22 28
12 23 51
12 24 59
12 25 62
12 26 83
12 27 31
12 28 39
12 29 86
12 30 41
12 31 50
12 32 21
12 33 96
12 34 82
12 35 83
12 36 15
12 37 79
12 38 56
12 39 75
12 40 66
12 41 80
12 42 15
12 43 69
12 44 97
12 45 33
12 46 90
12 47 47
12 48 35
12 49 73
12 50 71
12 51 2
12 52 93
12 53 94
12 54 71
12 55 68
12 56 49
12 57 13
12 58 28
12 59 61
12 60 84
12 61 13
12 62 80
12 63 23
12 64 74
12 65 5
12 66 5
12 67 7
12 68 91
12 69 28
12 70 81
12 71 76
12 72 50
12 73 4
12 74 13
12 75 42
12 76 67
12 77 59
12 78 50
12 79 75
12 80 35
12 81 27
12 82 85
12 83 68
12 84 45
12 85 48
12 86 14
12 87 59
12 88 64
12 89 44
12 90 99
12 91 22
12 92 66
12 93 50
12 94 9
12 95 21
12 96 14
12 97 99
12 98 8
12 99 73
13 14 21
13 15 21
13 16 92
13 17 13
13 18 3
13 19 25
13 20 47
13 21 16
13 22 99
13 23 46
13 24 80
13 25 12
13 26 13
13 27 40
13 28 85
13 29 76
13 30 38
13 31 41
13 32 82
13 33 58
13 34 92
13 35 60
13 36 90
13 37 1
13 38 49
13 39 14
13 40 81
13 41 90
13 42 62
13 43 9
13 44 79
13 45 88
13 46 8
13 47 59
13 48 44
13 49 6
13 50 87
13 51 96
13 52 50
13 53 75
13 54 61
13 55 57
13 56 14
13 57 14
13 58 51
13 59 9
13 60 88
13 61 3
13 62 41
13 63 81
13 64 55
13 65 11
13 66 100
13 67 84
13 68 98
13 69 52
13 70 81
13 71 83
13 72 38
13 73 12
13 74 54
13 75 42
13 76 2
13 77 24
13 78 6
13 79 70
13 80 32
13 81 54
13 82 66
13 83 39
13 84 2
13 85 4
13 86 30
13 87 30
13 88 15
13 89 59
13 90 97
13 91 58
13 92 22
13 93 64
13 94 15
13 95 58
13 96 66
13 97 55
13 98 39
13 99 87
14 15 66
14 16 32
14 17 52
14 18 28
14 19 78
14 20 18
14 21 90
14 22 37
14 23 27
14 24 7
14 25 72
14 26 87
14 27 99
14 28 8
14 29 84
14 30 28
14 31 74
14 32 30
14 33 24
14 34 13
14 35 70
14 36 53
14 37 43
14 38 32
14 39 82
14 40 12
14 41 3
14 42 11
14 43 48
14 44 75
14 45 81
14 46 28
14 47 6
14 48 53
14 49 22
14 50 7
14 51 36
14 52 92
14 53 4
14 54 41
14 55 91
14 56 66
14 57 70
14 58 90
14 59 23
14 60 64
14 61 64
14 62 2
14 63 84
14 64 86
14 65 92
14 66 5
14 67 60
14 68 87
14 69 98
14 70 13
14 71 27
14 72 7
14 73 35
14 74 97
14 75 68
14 76 87
14 77 18
14 78 66
14 79 55
14 80 20
14 81 60
14 82 63
14 83 96
14 84 94
14 85 72
14 86 76
14 87 4
14 88 65
14 89 13
14 90 100
14 91 9
14 92 70
14 93 89
14 94 60
14 95 50
14 96 48
14 97 61
14 98 66
14 99 46
15 16 24
15 17 91
15 18 90
15 19 17
15 20 49
15 21 59
15 22 61
15 23 41
15 24 67
15 25 42
15 26 45
15 27 99
15 28 27
15 29 21
15 30 72
15 31 78
15 32 32
15 33 66
15 34 10
15 35 93
15 36 50
15 37 10
15 38 73
15 39 40
15 40 16
15 41 39
15 42 54
15 43 26
15 44 57
15 45 66
15 46 92
15 47 100
15 48 28
15 49 35
15 50 66
15 51 23
15 52 70
15 53 62
15 54 82
15 55 58
15 56 95
15 57 28
15 58 84
15 59 44
15 60 95
15 61 32
15 62 35
15 63 47
15 64 76
15 65 68
15 66 2
15 67 89
15 68 93
15 69 41
15 70 59
15 71 70
15 72 13
15 73 59
15 74 25
15 75 67
15 76 29
15 77 27
15 78 4
15 79 82
15 80 50
15 81 97
15 82 37
15 83 33
15 84 14
15 85 73
15 86 41
15 87 70
15 88 93
15 89 45
15 90 93
15 91 71
15 92 57
15 93 43
15 94 55
15 95 20
15 96 44
15 97 35
15 98 75
15 99 39
16 17 10
16 18 10
16 19 4
16 20 32
16 21 88
16 22 67
16 23 47
16 24 95
16 25 23
16 26 2
16 27 64
16 28 36
16 29 15
16 30 12
16 31 12
16 32 90
16 33 41
16 34 12
16 35 13
16 36 27
16 37 53
16 38 82
16 39 16
16 40 28
16 41 79
16 42 98
16 43 6
16 44 53
16 45 15
16 46 87
16 47 81
16 48 100
16 49 88
16 50 35
16 51 42
16 52 2
16 53 54
16 54 74
16 55 36
16 56 73
16 57 52
16 58 34
16 59 52
16 60 57
16 61 13
16 62 79
16 63 13
16 64 33
16 65 84
16 66 48
16 67 82
16 68 28
16 69 67
16 70 18
16 71 54
16 72 19
16 73 98
16 74 49
16 75 34
16 76 33
16 77 25
16 78 95
16 79 24
16 80 4
16 81 97
16 82 72
16 83 46
16 84 33
16 85 28
16 86 18
16 87 57
16 88 17
16 89 46
16 90 69
16 91 81
16 92 65
16 93 91
16 94 45
16 95 72
16 96 73
16 97 19
16 98 1
16 99 21
17 18 76
17 19 64
17 20 56
17 21 29
17 22 15
17 23 96
17 24 47
17 25 3
17 26 42
17 27 41
17 28 73
17 29 72
17 30 82
17 31 22
17 32 93
17 33 81
17 34 77
17 35 38
17 36 14
17 37 62
17 38 95
17 39 8
17 40 71
17 41 63
17 42 5
17 43 100
17 44 24
17 45 48
17 46 4
17 47 4
17 48 71
17 49 78
17 50 12
17 51 54
17 52 40
17 53 89
17 54 97
17 55 5
17 56 63
17 57 98
17 58 77
17 59 73
17 60 81
17 61 52
17 62 64
17 63 94
17 64 75
17 65 69
17 66 10
17 67 8
17 68 76
17 69 3
17 70 67
17 71 56
17 72 56
17 73 74
17 74 21
17 75 41
17 76 49
17 77 38
17 78 88
17 79 49
17 80 86
17 81 46
17 82 28
17 83 47
17 84 87
17 85 15
17 86 31
17 87 92
17 88 84
17 89 16
17 90 83
17 91 17
17 92 45
17 93 96
17 94 89
17 95 14
17 96 48
17 97 74
17 98 48
17 99 25
18 19 71
18 20 32
18 21 11
18 22 2
18 23 91
18 24 32
18 25 44
18 26 36
18 27 10
18 28 90
18 29 66
18 30 28
18 31 42
18 32 84
18 33 78
18 34 27
18 35 17
18 36 65
18 37 41
18 38 23
18 39 89
18 40 80
18 41 19
18 42 89
18 43 16
18 44 15
18 45 99
18 46 75
18 47 35
18 48 80
18 49 87
18 50 1
18 51 32
18 52 89
18 53 81
18 54 57
18 55 84
18 56 25
18 57 81
18 58 16
18 59 78
18 60 56
18 61 1
18 62 39
18 63 88
18 64 53
18 65 71
18 66 38
18 67 62
18 68 25
18 69 81
18 70 31
18 71 57
18 72 92
18 73 62
18 74 39
18 75 86
18 76 53
18 77 41
18 78 13
18 79 46
18 80 34
18 81 19
18 82 3
18 83 55
18 84 82
18 85 99
18 86 43
18 87 50
18 88 56
18 89 6
18 90 62
18 91 53
18 92 44
18 93 75
18 94 58
18 95 5
18 96 6
18 97 66
18 98 55
18 99 76
19 20 71
19 21 97
19 22 62
19 23 77
19 24 58
19 25 92
19 26 15
19 27 59
19 28 94
19 29 32
19 30 10
19 31 48
19 32 64
19 33 96
19 34 40
19 35 5
19 36 34
19 37 6
19 38 67
19 39 46
19 40 63
19 41 82
19 42 32
19 43 87
19 44 31
19 45 35
19 46 55
19 47 4
19 48 1
19 49 22
19 50 86
19 51 30
19 52 97
19 53 4
19 54 30
19 55 54
19 56 95
19 57 27
19 58 32
19 59 9
19 60 98
19 61 39
19 62 88
19 63 65
19 64 67
19 65 64
19 66 67
19 67 8
19 68 55
19 69 36
19 70 83
19 71 61
19 72 98
19 73 67
19 74 18
19 75 31
19 76 86
19 77 13
19 78 9
19 79 41
19 80 24
19 81 27
19 82 15
19 83 93
19 84 93
19 85 77
19 86 83
19 87 79
19 88 23
19 89 31
19 90 90
19 91 90
19 92 22
19 93 8
19 94 50
19 95 16
19 96 49
19 97 91
19 98 20
19 99 85
20 21 44
20 22 48
20 23 85
20 24 54
20 25 48
20 26 77
20 27 43
20 28 46
20 29 64
20 30 40
20 31 8
20 32 33
20 33 62
20 34 10
20 35 3
20 36 92
20 37 75
20 38 92
20 39 53
20 40 67
20 41 73
20 42 73
20 43 55
20 44 48
20 45 54
20 46 95
20 47 82
20 48 19
20 49 61
20 50 98
20 51 27
20 52 36
20 53 48
20 54 1
20 55 67
20 56 57
20 57 33
20 58 87
20 59 62
20 60 62
20 61 41
20 62 83
20 63 22
20 64 25
20 65 81
20 66 16
20 67 74
20 68 76
20 69 55
20 70 8
20 71 37
20 72 59
20 73 31
20 74 76
20 75 59
20 76 59
20 77 85
20 78 35
20 79 94
20 80 13
20 81 26
20 82 8
20 83 53
20 84 17
20 85 93
20 86 7
20 87 99
20 88 99
20 89 24
20 90 2
20 91 10
20 92 52
20 93 79
20 94 97
20 95 25
20 96 19
20 97 45
20 98 63
20 99 64
21 22 67
21 23 60
21 24 47
21 25 17
21 26 68
21 27 59
21 28 25
21 29 94
21 30 70
21 31 7
21 32 59
21 33 99
21 34 43
21 35 90
21 36 100
21 37 93
21 38 65
21 39 28
21 40 50
21 41 32
21 42 27
21 43 87
21 44 48
21 45 54
21 46 79
21 47 22
21 48 56
21 49 52
21 50 40
21 51 16
21 52 93
21 53 7
21 54 98
21 55 37
21 56 78
21 57 88
21 58 39
21 59 85
21 60 27
21 61 38
21 62 89
21 63 83
21 64 37
21 65 12
21 66 98
21 67 78
21 68 19
21 69 38
21 70 72
21 71 8
21 72 44
21 73 53
21 74 9
21 75 97
21 76 40
21 77 35
21 78 95
21 79 84
21 80 77
21 81 90
21 82 56
21 83 81
21 84 18
21 85 70
21 86 27
21 87 82
21 88 48
21 89 52
21 90 33
21 91 62
21 92 53
21 93 37
21 94 22
21 95 30
21 96 63
21 97 27
21 98 19
21 99 92
22 23 39
22 24 42
22 25 87
22 26 47
22 27 22
22 28 56
22 29 61
22 30 88
22 31 42
22 32 84
22 33 15
22 34 18
22 35 11
22 36 71
22 37 46
22 38 56
22 39 50
22 40 57
22 41 48
22 42 37
22 43 32
22 44 51
22 45 53
22 46 20
22 47 33
22 48 5
22 49 95
22 50 11
22 51 97
22 52 6
22 53 10
22 54 18
22 55 89
22 56 91
22 57 44
22 58 4
22 59 77
22 60 54
22 61 20
22 62 33
22 63 65
22 64 32
22 65 22
22 66 46
22 67 61
22 68 92
22 69 93
22 70 12
22 71 34
22 72 71
22 73 45
22 74 33
22 75 37
22 76 83
22 77 53
22 78 57
22 79 16
22 80 37
22 81 4
22 82 51
22 83 84
22 84 97
22 85 87
22 86 65
22 87 42
22 88 94
22 89 57
22 90 77
22 91 6
22 92 51
22 93 16
22 94 99
22 95 21
22 96 92
22 97 97
22 98 89
22 99 73
23 24 99
23 25 69
23 26 38
23 27 86
23 28 87
23 29 93
23 30 53
23 31 20
23 32 54
23 33 78
23 34 88
23 35 51
23 36 57
23 37 75
23 38 4
23 39 8
23 40 95
23 41 68
23 42 91
23 43 1
23 44 36
23 45 36
23 46 84
23 47 69
23 48 100
23 49 42
23 50 89
23 51 8
23 52 33
23 53 75
23 54 93
23 55 2
23 56 80
23 57 59
23 58 82
23 59 26
23 60 59
23 61 30
23 62 34
23 63 51
23 64 44
23 65 41
23 66 45
23 67 30
23 68 71
23 69 21
23 70 70
23 71 70
23 72 11
23 73 15
23 74 7
23 75 3
23 76 51
23 77 67
23 78 57
23 79 82
23 80 96
23 81 97
23 82 85
23 83 96
23 84 96
23 85 17
23 86 50
23 87 64
23 88 64
23 89 48
23 90 71
23 91 31
23 92 32
23 93 51
23 94 12
23 95 56
23 96 45
23 97 21
23 98 74
23 99 45
24 25 30
24 26 81
24 27 29
24 28 2
24 29 14
24 30 22
24 31 24
24 32 91
24 33 95
24 34 26
24 35 95
24 36 49
24 37 69
24 38 28
24 39 82
24 40 46
24 41 94
24 42 10
24 43 86
24 44 99
24 45 78
24 46 60
24 47 4
24 48 36
24 49 27
24 50 16
24 51 54
24 52 83
24 53 24
24 54 51
24 55 61
24 56 12
24 57 90
24 58 71
24 59 7
24 60 64
24 61 92
24 62 97
24 63 24
24 64 1
24 65 50
24 66 54
24 67 60
24 68 74
24 69 12
24 70 63
24 71 73
24 72 58
24 73 42
24 74 47
24 75 99
24 76 79
24 77 61
24 78 13
24 79 40
24 80 73
24 81 66
24 82 59
24 83 2
24 84 69
24 85 22
24 86 46
24 87 36
24 88 78
24 89 56
24 90 17
24 91 87
24 92 61
24 93 1
24 94 9
24 95 83
24 96 29
24 97 25
24 98 26
24 99 2
25 26 34
25 27 60
25 28 75
25 29 25
25 30 61
25 31 61
25 32 52
25 33 71
25 34 93
25 35 15
25 36 22
25 37 24
25 38 39
25 39 12
25 40 99
25 41 28
25 42 67
25 43 32
25 44 6
25 45 56
25 46 41
25 47 49
25 48 33
25 49 70
25 50 52
25 51 46
25 52 15
25 53 34
25 54 13
25 55 76
25 56 4
25 57 82
25 58 16
25 59 67
25 60 67
25 61 76
25 62 93
25 63 20
25 64 42
25 65 17
25 66 75
25 67 19
25 68 100
25 69 40
25 70 95
25 71 35
25 72 34
25 73 86
25 74 70
25 75 78
25 76 45
25 77 10
25 78 89
25 79 44
25 80 31
25 81 93
25 82 87
25 83 46
25 84 51
25 85 61
25 86 78
25 87 8
25 88 63
25 89 71
25 90 7
25 91 33
25 92 10
25 93 26
25 94 15
25 95 77
25 96 29
25 97 76
25 98 16
25 99 72
26 27 56
26 28 59
26 29 29
26 30 35
26 31 95
26 32 17
26 33 83
26 34 86
26 35 26
26 36 86
26 37 2
26 38 63
26 39 9
26 40 43
26 41 4
26 42 5
26 43 18
26 44 65
26 45 21
26 46 60
26 47 61
26 48 16
26 49 1
26 50 90
26 51 29
26 52 95
26 53 20
26 54 18
26 55 34
26 56 32
26 57 21
26 58 11
26 59 32
26 60 72
26 61 22
26 62 10
26 63 91
26 64 10
26 65 50
26 66 32
26 67 56
26 68 86
26 69 91
26 70 64
26 71 26
26 72 26
26 73 15
26 74 51
26 75 25
26 76 10
26 77 59
26 78 12
26 79 54
26 80 9
26 81 32
26 82 20
26 83 65
26 84 38
26 85 46
26 86 10
26 87 28
26 88 68
26 89 51
26 90 2
26 91 95
26 92 19
26 93 11
26 94 35
26 95 14
26 96 91
26 97 4
26 98 96
26 99 39
27 28 12
27 29 30
27 30 39
27 31 36
27 32 38
27 33 29
27 34 84
27 35 86
27 36 96
